Rahmanullah Gurbaz (AFG) 
RG Sharma (IND) 
TM Head (AUS) 
Q de Kock (SA) 
Ibrahim Zadran (AFG) 
N Pooran (WI) 
AGS Gous (USA) 
JC Buttler (ENG) 
SA Yadav (IND) 
H Klaasen (SA) 
PD Salt (ENG) 
DA Warner (AUS) 
RR Pant (IND) 
MP Stoinis (AUS) 
DA Miller (SA) 
T Stubbs (SA) 
Aaron Jones (USA) 
Towhid Hridoy (BAN) 
V Kohli (IND) 
HC Brook (ENG) 
HH Pandya (IND) 
B McMullen (SCOT) 
J Charles (WI) 
Litton Das (BAN) 
S Dube (IND) 
GJ Maxwell (AUS) 
MR Marsh (AUS) 
HG Munsey (SCOT) 
AK Markram (SA) 
Babar Azam (PAK) 
SE Rutherford (WI) 
RR Hendricks (SA) 
Najmul Hossain Shanto (BAN) 
Shakib Al Hasan (BAN) 
Azmatullah Omarzai (AFG) 
Mohammad Rizwan (PAK) 
JM Bairstow (ENG) 
SD Hope (WI) 
RD Berrington (SCOT) 
MG Erasmus (NAM) 
R Powell (WI) 
NR Kirton (CAN) 
NR Kumar (USA) 
SA Engelbrecht (NED) 
Mahmudullah (BAN) 
RL Chase (WI) 
Ayaan Khan (OMA) 
AR Patel (IND) 
Gulbadin Naib (AFG) 
A Johnson (CAN) 
MA Jones (SCOT) 
BA King (WI) 
MP O'Dowd (NED) 
AD Russell (WI) 
Tanzid Hasan (BAN) 
BKG Mendis (SL) 
SR Taylor (USA) 
LS Livingstone (ENG) 
KIC Asalanka (SL) 
NS Dhaliwal (CAN) 
S Movva (CAN) 
K Doriga (PNG) 
SA Edwards (NED) 
MM Ali (ENG) 
DP Conway (NZ) 
Harmeet Singh (USA) 
S Bau (PNG) 
Vikramjit Singh (NED) 
MD Patel (USA) 
CJ Anderson (USA) 
N Davin (NAM) 
Aasif Sheikh (NEP) 
AD Mathews (SL) 
TH David (AUS) 
GJ Delany (IRE) 
PS Athavale (OMA) 
GD Phillips (NZ) 
JN Frylinck (NAM) 
Rashid Khan (AFG) 
Mohammad Nabi (AFG) 
DM de Silva (SL) 
MR Adair (IRE) 
D Wiese (NAM) 
P Nissanka (SL) 
M Levitt (NED) 
Riazat Ali Shah (UGA) 
Khalid Kail (OMA) 
Mehran Khan (OMA) 
GH Dockrell (IRE) 
Shadab Khan (PAK) 
M van Lingen (NAM) 
Karim Janat (AFG) 
Aqib Ilyas (OMA) 
MA Leask (SCOT) 
Rishad Hossain (BAN) 
AK Sah (NEP) 
Kushal Malla (NEP) 
JB Little (IRE) 
DJ Mitchell (NZ) 
MH Cross (SCOT) 
Shaheen Shah Afridi (PAK) 
RK Paudel (NEP) 
KR Mayers (WI) 
Jaker Ali (BAN) 
FH Allen (NZ) 
RA Jadeja (IND) 
CJA Amini (PNG) 
Fakhar Zaman (PAK) 
PHKD Mendis (SL) 
DS Airee (NEP) 
M Jansen (SA) 
A Vala (PNG) 
SC van Schalkwyk (USA) 
ZE Green (NAM) 
KS Williamson (NZ) 
Taskin Ahmed (BAN) 
MS Wade (AUS) 
Zeeshan Maqsood (OMA) 
J Miyagi (UGA) 
MJ Santner (NZ) 
A Dutt (NED) 
LV van Beek (NED) 
Pargat Singh (CAN) 
Shakeel Ahmed (OMA) 
H Hiri (PNG) 
K Bhurtel (NEP) 
CA Soper (PNG) 
Milind Kumar (USA) 
Iftikhar Ahmed (PAK) 
Saim Ayub (PAK) 
C Campher (IRE) 
R Shepherd (WI) 
JC Archer (ENG) 
A Balbirnie (IRE) 
LJ Tucker (IRE) 
Najibullah Zadran (AFG) 
JJ Smit (NAM) 
AJ Hosein (WI) 
A Nao (PNG) 
R Obuya (UGA) 
PW Hasaranga (SL) 
Gulsan Jha (NEP) 
BFW de Leede (NED) 
Usman Khan (PAK) 
Imad Wasim (PAK) 
N Vanua (PNG) 
K Waiswa (UGA) 
DS Bajwa (CAN) 
Karan KC (NEP) 
Abbas Afridi (PAK) 
